epoch,log_dir,log_name,seconds
30,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.368146
31,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.200994
32,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.565057
33,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,8.906871
34,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.538132
35,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.070097
36,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.295782
37,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.219077
38,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.404527
39,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.210286
40,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.500733
41,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,8.900755
42,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.332051
43,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.219508
44,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.442245
45,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.067746
46,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.4912
47,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.065573
48,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.286658
49,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.422299
