log_name,log_dir,mpnn_type,edge_attr_enabled,domain_loss_enabled,domain_loss_mode,al_rho,hidden_dim,num_conv_layers,batch_size,learning_rate,num_epochs_logged,best_epoch,best_val_loss,best_test_loss,final_val_loss,final_test_loss,best_epoch_seconds,final_epoch_seconds,avg_epoch_seconds,total_train_seconds,inference_test_error,al_mu_max,angle_diff_weight,best_train_loss,edge_dim,final_epoch,final_train_loss,has_run_log,line_flow_weight,num_epoch_config,timed_epochs,voltage_bound_weight
heat_attr_case500_no_physics,logs/heat_attr_case500_no_physics,HeteroHEAT,True,False,none,,64,4,32,0.001,50,46,0.00085402,0.00083085,0.00097484,0.00095147,9.475191,9.702996,9.797445,490.368086,,,,0.00083644,"{""ac_line"": 9, ""transformer"": 11}",49,0.00083393,True,,50,50,
heat_no_attr_case500_no_physics,logs/heat_no_attr_case500_no_physics,HeteroHEAT,False,False,none,,64,4,32,0.001,50,48,0.00088256,0.0008605,0.00091945,0.00089721,9.286658,9.422299,9.546298,477.786464,,,,0.00084476,{},49,0.00084415,True,,50,50,
