epoch,log_dir,log_name,test_loss,train_loss,val_loss
20,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57700741,1.57706857,1.5770762
21,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57687438,1.57693803,1.57694244
22,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57673478,1.57680058,1.5768007
23,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57659376,1.57665694,1.57665181
24,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57643414,1.57650673,1.5765034
25,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57637262,1.57641077,1.57644248
26,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57628775,1.57633245,1.57636201
27,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57620931,1.57624722,1.57627916
28,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.5761162,1.57615852,1.57618845
29,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57602239,1.57606626,1.57608771
30,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57592356,1.57597053,1.57599199
31,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57588065,1.57590961,1.57595503
32,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57583308,1.57586002,1.57590306
33,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57577693,1.57580674,1.57584965
34,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57571697,1.57575083,1.57579291
35,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57566345,1.57569349,1.57573068
36,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57560062,1.575634,1.57567048
37,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57557297,1.57559645,1.57565117
38,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57554531,1.57556605,1.57561612
39,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57550716,1.57553327,1.57558513
40,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57547414,1.57549977,1.57555091
41,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.5754416,1.57546473,1.57551599
42,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57540751,1.57542908,1.57547915
43,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57538056,1.57540178,1.57545745
44,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57536066,1.57537878,1.57543588
45,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.5753361,1.57535303,1.57540798
46,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57530761,1.57532644,1.57538176
47,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.5752784,1.57529867,1.57535565
48,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57525849,1.57527041,1.5753268
49,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,1.57522178,1.57524133,1.57528973
0,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.11284523,0.41303486,0.11289869
1,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00872962,0.01487246,0.00880368
2,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00817732,0.00809404,0.00824106
3,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00798002,0.00779201,0.00805004
4,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00981407,0.00733718,0.00987852
5,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.01022736,0.00704071,0.01028505
