epoch,log_dir,log_name,seconds
42,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.953556
43,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.073172
44,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.06407
45,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.906911
46,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.141938
47,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.98151
48,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.067875
49,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.06987
0,logs/heat_attr_case500_AL,heat_attr_case500_AL,17.803731
1,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.795534
2,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.882096
3,logs/heat_attr_case500_AL,heat_attr_case500_AL,10.022764
4,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.909079
5,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.806191
6,logs/heat_attr_case500_AL,heat_attr_case500_AL,10.084815
7,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.838683
8,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.714014
9,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.898222
10,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.731642
11,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.551613
12,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.951854
13,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.909896
14,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.75037
15,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.87349
16,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.575733
17,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.972519
18,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.929304
19,logs/heat_attr_case500_AL,heat_attr_case500_AL,10.115542
20,logs/heat_attr_case500_AL,heat_attr_case500_AL,10.183165
21,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.996568
22,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.754978
23,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.764848
24,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.931441
25,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.908804
26,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.772332
27,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.7787
28,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.895888
29,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.885231
30,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.906502
31,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.764712
32,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.787115
33,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.930731
34,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.900989
35,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.880637
36,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.957828
37,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.578598
38,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.884105
39,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.884153
